"MaterialName";"Category";"AdditionalNotes";"Quantity";"NVL";"BEN";"PercentComplete";"Fixture";"AssetNumber";"BEN4LPR";"CurrentState";"IndividuallyAssigned";"LamPartNumber";"LaptopAssignedBEDShift";"LaptopAssignedBENShift";"LaptopAssignedFEDShift";"LaptopAssignedFENShift";"LaptopAssignedMF";"LaptopDepartment";"RecordIDNumber";"SerialNumber";"materialPK"
"Building L - 02";"SWIC-Supported GIS Laptop";"T440";1;"";"";"";0;"202666";"";"Cleanroom Item";0;"";"";"";"Sean Wilcox <60343814.jnwe>";"";"";"DOS";1128;"";1450
"FT-Utility02";"SWIC Cart";"cables missing, on order";1;"";"";"";0;"";"";"Cleanroom Item";0;"";"";"";"";"";"";"";129;"Chase: 116636-1115-1906176";1451
"FT-Utility03";"SWIC Spare Device";"Com port 1 missing a pin and reported as nonfunctional, com port 2 is missing. Temporarily being used on the floor by a tech that does not need the com ports.";0;"";"2160422A";"83T";0;"";"2160422A";"Unavailable to Loan";0;"";"";"";"";"";"";"";130;"Chase: 116636-2411-1732365";1452
"Building L - 03";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205786";"";"Cleanroom Item";0;"";"Nicholas Nance <62356688.bsds>";"";"Ethan Adams <62516238.drb2>";"";"";"Assembly";974;"PC0JWCUS";1453
"Extech TC Calibrator #20";"Tools- Meters & Pendants";"";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2241;"";1454
"Extech TC Calibrator #3";"Tools- Meters & Pendants";"*JA 9.4.20*was giving weird readings and needs to be sent out for calibration.";0;"NVL-21140";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1301;"Serial Number: Z85956
Cert Number:  232086";1455
"FT-Utility04";"SWIC Spare Device";"On loan to techs at building D";0;"";"2069101B";"86T";0;"";"2069101B";"Unavailable to Loan";0;"";"";"";"";"";"";"";131;"Chase: 116636-4813-1843896";1456
"Extech TC Calibrator #4";"Tools- Meters & Pendants";"Numbers on calibrator are bouncing to much not giving an accurate reading, ticket 29940

JA 3.26.21
This has been deactivated and trashed.";0;"NVL-21138";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1302;"Serial Number: Z85954
Cert Number:  232085";1457
"Building L - 04";"SWIC-Supported GIS Laptop";"T460
";1;"";"";"";0;"3000058";"";"Available to Loan";0;"";"";"";"";"";"";"";1361;"PC0LFZNA";1458
"FT-Utility05";"SWIC Cart";"At Javelin storage. ";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";132;"Chase: 1034020-4417-ACHB000151";1459
"Building L - 05";"SWIC-Supported GIS Laptop";"T470";1;"";"";"";0;"A301165";"";"Cleanroom Item";0;"";"Pejman Ferdosiyan <62332411.b4za>";"";"Donna Serna <60580707.btbp>";"";"";"Assembly";981;"pf0u5th7";1460
"FT-Utility06";"SWIC Cart";"Set up as an assembly utility cart for building L.
";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";1310;"Computer SN 116636-4712-1796820
Monitor SN 6CM5500P7J
Ergo SN 1314911-0111
";1461
"Building L - 06";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205780";"";"Cleanroom Item";0;"";"";"";"Adam McArthur <60549050.dzs5>";"";"";"Assembly";979;"pc0jwcht";1462
"Building L - 07";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A204900";"";"Cleanroom Item";0;"";"Jade Yang <63413683.c9jq>";"";"Sean Hamilton <62248656.b3u7>";"";"";"Assembly";976;"pc0fwxkp";1463
"FT-Utility300";"SWIC Cart";"This is at Javelin Storage";0;"";"";"";0;"";"";"On Loan Offsite";0;"";"";"";"";"";"";"";859;"";1464
"FTConsolidated01";"SWIC Cart";"Tool ID: ?
K-Key: L55559
Dock Key: 3B86";0;"";"1974492A";"64P";0;"";"1974492A";"Unavailable to Loan";0;"";"";"";"";"";"";"";78;"Chase: 1034020-1917-ACH5000402
ES: 1034020-3815-ACF9002860";1465
"FTConsolidated02";"SWIC Cart";"Tool ID: ?
K-Key: L52433
Dock Key: 3B48";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";79;"Chase: 1034020-2016-ACH5001791
ES: 1034020-2416-ACG6001090";1466
"FTConsolidated03";"SWIC Cart";"Tool ID: ?
K-Key: L52281
Dock Key: 3A86";0;"";"2188611E";"93T";0;"";"2188611E";"Unavailable to Loan";0;"";"";"";"";"";"";"";80;"Chase: 1034020-1917-ACH5000830
ES: 1034020-3016-ACG7002730";1467
"Building L - 08";"SWIC-Supported GIS Laptop";"T470";1;"";"";"";0;"A301160";"";"Cleanroom Item";0;"";"Kyle Alegre <62542334.cbmr>";"Caleb Cunningham <62816649.c62s>";"Jeff Camp <62884996.i4m9>";"";"";"Assembly";960;"pf0u2q6z";1468
"Building L - 09";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"205758";"";"Cleanroom Item";0;"";"Alireza Moghan <62324372.ddt8>";"Ban Phan <62213812.cs9g>";"Steve Hernandez <63400888.u6kw>";"";"";"Assembly";1226;"pc0jwcvv";1469
"Building L - 10";"SWIC-Supported GIS Laptop";"T460";0;"";"";"";0;"205774";"";"Cleanroom Item";0;"";"Andrew Randall <60579282.ebbh>";"David Montalvo <61832397.d8m5>";"";"Wesley Mendez <62336580.cru8>";"";"Assembly";1222;"pc0jwchw";1470
"FTConsolidated04";"SWIC Cart";"Tool ID: 0B463AED75
K-Key: L55135
Dock Key: 3B58
";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";81;"Chase: 1034020-1917-ACH5000406
ES: 1034020-2017-ACH5001542";1471
"FTConsolidated05";"SWIC Cart";"Tool ID: ?
K-Key: L65026
Dock Key: 3B12";0;"";"1955561B";"66P";0;"";"1955561B";"Unavailable to Loan";0;"";"";"";"";"";"";"";82;"Chase: 1034020-1117-ACH3002003
ES: 1034020-1117-ACH3002259";1472
"FTConsolidated06";"SWIC Cart";"Tool ID: ?
K-Key: L51373
Dock Key: 3A42
Note: Bad J4 port";1;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";83;"Chase: 1034020-1117-ACH3002008
ES: 1034020-2017-ACH5001547";1473
"D-25 Misc. Jumper";"Other (Please describe)";"";4;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2005;"";1474
"D-25 Pin Heater Interlock (1/14, 2/15, 3/16, 4/17, 5/18, 6/19, 7/20, 8/21)";"Other (Please describe)";"";2;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2001;"";1475
"FTConsolidated07";"SWIC Cart";"Tool ID: ?
K-Key: L60362
Dock Key: 3B39";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";84;"Chase: 1034020-1917-ACH5000403
ES: 1034020-2117-ACH5001918";1476
"D-37 (4/5,9/10, 14/15, 19/20, 24/25)";"Other (Please describe)";"";5;"";"";"";0;"";"";"Available to Loan";0;"";"";"";"";"";"";"";2087;"";1477
"Building L - 11";"SWIC-Supported GIS Laptop";"T470";1;"";"";"";0;"A301178";"";"Cleanroom Item";0;"";"";"";"";"";"";"Assembly";645;"pf0u5tkn";1478
"FTConsolidated08";"SWIC Cart";"Tool ID: ?
K-Key: L69443
Dock Key: 3B74";0;"";"";"";0;"";"";"Unavailable to Loan";0;"";"";"";"";"";"";"";85;"Chase: 1034020-1917-ACH5000828
ES: 1034020-1615-ACF4002163";1479
"Building L - 12";"SWIC-Supported GIS Laptop";"T460";1;"";"";"";0;"A205479";"";"Available to Loan";0;"";"";"";"";"";"";"Assembly";964;"pc0jg2tc";1480
"FTConsolidated09";"SWIC Cart";"Tool ID: ?
K-Key: L49635
Dock Key: 3B36";0;"";"2070411A";"40P";0;"";"2070411A";"Unavailable to Loan";0;"";"";"";"";"";"";"";86;"Chase: 1034020-2915-ACF7001960
ES: 1034020-2017-ACH5001540";1481
"Building L - 13";"SWIC-Supported GIS Laptop";"T440

";1;"";"";"";0;"202505";"";"Cleanroom Item";0;"";"Joceline Chavez <62209299.czxq>";"";"Tristan Polinsky-Neil <62640438.bimg>";"";"";"Assembly";961;"";1482
"FTConsolidated10";"SWIC Cart";"Tool ID: 4370576CC8
K-Key: L53438
Dock Key: 3B79

Broken J4 E-net port";0;"";"2188561A";"91A";0;"";"2188561A";"Unavailable to Loan";0;"";"";"";"";"";"";"";87;"Chase: 1034020-1917-ACH5000405
ES: 1034020-3016-ACG7002726";1483
"D-78 AHM/AHM - XT";"Other (Please describe)";"03-401474-00";10;"";"";"";0;"";"";"Available to Loan";0;"03-401474-00";"";"";"";"";"";"";1977;"";1484
"D-9 (2/16)";"Other (Please describe)";"03-281066-00";2;"";"";"";0;"";"";"Available to Loan";0;"03-281066-00";"";"";"";"";"";"";1991;"";1485
